city,zone,latitude,longitude,year,week,month,temperature,humidity,rainfall,sanitation_score,population_density,dengue_cases,risk_score
Coimbatore,Mettupalayam,11.29968,76.94244,2020,37,9,16.8,78.6,55.4,77.3,1106,30,73.2
Coimbatore,Mettupalayam,11.29968,76.94244,2020,38,9,22.5,76.7,76.6,85.7,13432,35,82.4
Coimbatore,Mettupalayam,11.29968,76.94244,2020,39,9,19.6,77.5,60.5,75.2,14202,38,80.5
Coimbatore,Mettupalayam,11.29968,76.94244,2020,40,9,25.5,73.3,101.1,84.9,3615,42,91.0
Coimbatore,Mettupalayam,11.29968,76.94244,2020,41,10,25.3,67.5,34.5,74.6,12438,37,82.7
Coimbatore,Mettupalayam,11.29968,76.94244,2020,42,10,21.4,71.1,29.7,75.8,7924,38,79.0
Coimbatore,Mettupalayam,11.29968,76.94244,2020,43,10,28.4,67.4,15.7,80.5,6574,41,82.6
Coimbatore,Mettupalayam,11.29968,76.94244,2020,44,10,32.2,74.0,103.0,83.3,5552,45,100.0
Coimbatore,Mettupalayam,11.29968,76.94244,2020,45,11,28.9,59.1,2.9,83.5,3547,42,69.9
Coimbatore,Mettupalayam,11.29968,76.94244,2020,46,11,33.0,58.3,1.4,71.8,4527,48,76.2
Coimbatore,Mettupalayam,11.29968,76.94244,2020,47,11,31.5,51.3,15.5,84.2,13509,47,84.5
Coimbatore,Mettupalayam,11.29968,76.94244,2020,48,11,34.9,48.6,1.4,93.4,6514,55,74.9
Coimbatore,Mettupalayam,11.29968,76.94244,2020,49,12,31.1,55.1,3.2,82.7,2674,47,78.0
Coimbatore,Mettupalayam,11.29968,76.94244,2020,50,12,31.4,44.2,2.8,73.9,2519,46,75.4
Coimbatore,Mettupalayam,11.29968,76.94244,2020,51,12,31.0,46.4,2.3,76.3,7224,42,72.8
Coimbatore,Mettupalayam,11.29968,76.94244,2020,52,12,39.0,48.8,0.9,84.1,2584,49,80.1
Coimbatore,Mettupalayam,11.29968,76.94244,2020,53,12,33.5,45.4,14.1,71.1,6881,33,83.8
Coimbatore,Mettupalayam,11.29968,76.94244,2021,1,1,37.3,42.0,3.9,96.1,14885,48,76.5
Coimbatore,Mettupalayam,11.29968,76.94244,2021,2,1,36.1,44.9,0.4,68.8,6635,40,69.7
Coimbatore,Mettupalayam,11.29968,76.94244,2021,3,1,34.1,40.0,6.0,71.4,10891,38,75.8
Coimbatore,Mettupalayam,11.29968,76.94244,2021,4,1,35.5,45.4,1.7,81.3,5333,41,70.0
Coimbatore,Mettupalayam,11.29968,76.94244,2021,5,2,33.3,40.0,7.5,62.8,14223,30,75.4
Coimbatore,Mettupalayam,11.29968,76.94244,2021,6,2,33.9,40.0,6.9,86.0,1711,35,69.7
Coimbatore,Mettupalayam,11.29968,76.94244,2021,7,2,34.4,40.1,8.8,84.3,12955,36,71.8
Coimbatore,Mettupalayam,11.29968,76.94244,2021,8,2,32.6,41.8,15.0,73.7,8527,34,75.1
Coimbatore,Mettupalayam,11.29968,76.94244,2021,9,3,34.6,40.0,2.0,70.5,9785,29,62.5
Coimbatore,Mettupalayam,11.29968,76.94244,2021,10,3,33.2,44.4,0.5,81.3,3045,27,54.2
Coimbatore,Mettupalayam,11.29968,76.94244,2021,11,3,30.7,40.0,10.9,92.7,7201,27,61.3
Coimbatore,Mettupalayam,11.29968,76.94244,2021,12,3,29.0,45.6,4.8,69.4,2291,18,56.4
Coimbatore,Mettupalayam,11.29968,76.94244,2021,13,3,29.0,47.8,0.4,83.7,10044,18,41.7
Coimbatore,Mettupalayam,11.29968,76.94244,2021,14,4,24.6,43.1,7.5,72.9,5803,7,44.5
Coimbatore,Mettupalayam,11.29968,76.94244,2021,15,4,29.3,47.1,3.2,75.0,14588,16,46.4
Coimbatore,Mettupalayam,11.29968,76.94244,2021,16,4,23.3,53.3,16.4,90.3,11299,14,46.3
Coimbatore,Mettupalayam,11.29968,76.94244,2021,17,4,22.1,51.2,16.5,79.6,11133,13,44.9
Coimbatore,Mettupalayam,11.29968,76.94244,2021,18,5,22.6,55.7,17.4,67.3,6925,15,50.1
Coimbatore,Mettupalayam,11.29968,76.94244,2021,19,5,22.3,55.4,4.9,93.6,10459,21,38.7
Coimbatore,Mettupalayam,11.29968,76.94244,2021,20,5,20.7,70.9,1.6,66.9,4150,11,39.8
Coimbatore,Mettupalayam,11.29968,76.94244,2021,21,5,16.6,67.6,0.4,56.9,12543,4,28.0
Coimbatore,Mettupalayam,11.29968,76.94244,2021,22,6,22.1,69.5,25.7,82.4,2139,21,56.8
Coimbatore,Mettupalayam,11.29968,76.94244,2021,23,6,18.9,66.4,39.3,72.2,1750,6,52.7
Coimbatore,Mettupalayam,11.29968,76.94244,2021,24,6,19.5,68.7,95.7,73.9,11834,12,60.1
Coimbatore,Mettupalayam,11.29968,76.94244,2021,25,6,16.7,72.9,112.3,78.1,4733,12,58.7
Coimbatore,Mettupalayam,11.29968,76.94244,2021,26,6,16.9,67.9,37.2,61.3,13665,8,52.2
Coimbatore,Mettupalayam,11.29968,76.94244,2021,27,7,17.4,82.7,20.3,72.0,5741,20,53.7
Coimbatore,Mettupalayam,11.29968,76.94244,2021,28,7,15.3,82.4,43.9,85.3,2307,22,56.4
Coimbatore,Mettupalayam,11.29968,76.94244,2021,29,7,15.0,76.4,110.6,83.8,4814,24,62.8
Coimbatore,Mettupalayam,11.29968,76.94244,2021,30,7,15.0,72.8,48.5,53.3,2654,14,60.2
Coimbatore,Mettupalayam,11.29968,76.94244,2021,31,8,15.0,70.9,39.9,74.9,7227,20,56.4
Coimbatore,Mettupalayam,11.29968,76.94244,2021,32,8,17.9,72.6,37.8,74.2,5554,22,61.5
Coimbatore,Mettupalayam,11.29968,76.94244,2021,33,8,15.0,77.4,16.0,95.6,8428,30,51.3
Coimbatore,Mettupalayam,11.29968,76.94244,2021,34,8,15.9,77.5,20.5,69.4,11415,22,58.1
Coimbatore,Mettupalayam,11.29968,76.94244,2021,35,9,15.4,76.7,13.7,74.0,14666,25,55.7
Coimbatore,Mettupalayam,11.29968,76.94244,2021,36,9,19.4,84.7,75.6,68.8,6977,28,79.1
Coimbatore,Mettupalayam,11.29968,76.94244,2021,37,9,18.2,76.3,2.8,68.7,3664,21,50.3
Coimbatore,Mettupalayam,11.29968,76.94244,2021,38,9,22.1,71.5,42.6,84.7,7065,35,71.6
Coimbatore,Mettupalayam,11.29968,76.94244,2021,39,9,19.5,66.9,48.6,73.1,6820,30,70.2
Coimbatore,Mettupalayam,11.29968,76.94244,2021,40,10,20.5,70.0,21.4,71.5,4432,37,69.9
Coimbatore,Mettupalayam,11.29968,76.94244,2021,41,10,25.6,71.3,110.0,98.7,11980,51,89.3
Coimbatore,Mettupalayam,11.29968,76.94244,2021,42,10,24.1,77.2,30.4,68.3,5374,42,88.2
Coimbatore,Mettupalayam,11.29968,76.94244,2021,43,10,30.0,60.1,62.6,70.4,12498,38,93.8
Coimbatore,Mettupalayam,11.29968,76.94244,2021,44,11,26.6,62.7,1.7,75.5,12199,39,67.1
Coimbatore,Mettupalayam,11.29968,76.94244,2021,45,11,29.1,62.2,0.6,78.9,11617,44,67.4
Coimbatore,Mettupalayam,11.29968,76.94244,2021,46,11,30.1,61.4,1.5,80.0,2169,42,70.0
Coimbatore,Mettupalayam,11.29968,76.94244,2021,47,11,30.9,61.3,4.2,84.3,10980,45,76.6
Coimbatore,Mettupalayam,11.29968,76.94244,2021,48,12,30.5,50.2,2.8,58.7,11403,34,72.1
Coimbatore,Mettupalayam,11.29968,76.94244,2021,49,12,33.0,48.4,1.7,63.6,3803,37,71.3
Coimbatore,Mettupalayam,11.29968,76.94244,2021,50,12,38.8,42.7,0.3,66.4,9751,37,69.3
Coimbatore,Mettupalayam,11.29968,76.94244,2021,51,12,35.9,45.8,1.5,86.1,12946,47,70.0
Coimbatore,Mettupalayam,11.29968,76.94244,2021,52,12,32.9,58.9,2.7,80.8,5010,44,74.8
Coimbatore,Mettupalayam,11.29968,76.94244,2022,1,1,35.5,42.0,13.9,79.9,3677,46,84.1
Coimbatore,Mettupalayam,11.29968,76.94244,2022,2,1,34.7,44.1,7.9,70.1,8573,36,80.5
Coimbatore,Mettupalayam,11.29968,76.94244,2022,3,1,35.8,40.2,5.5,52.9,7216,30,79.4
Coimbatore,Mettupalayam,11.29968,76.94244,2022,4,1,34.4,46.0,8.5,54.6,5422,25,78.5
Coimbatore,Mettupalayam,11.29968,76.94244,2022,5,2,31.0,40.0,6.9,59.2,11485,24,66.0
Coimbatore,Mettupalayam,11.29968,76.94244,2022,6,2,33.9,44.3,3.9,77.4,12274,33,64.0
Coimbatore,Mettupalayam,11.29968,76.94244,2022,7,2,30.9,45.7,0.7,80.1,10125,33,51.8
Coimbatore,Mettupalayam,11.29968,76.94244,2022,8,2,35.2,40.6,7.8,70.4,4598,23,66.8
Coimbatore,Mettupalayam,11.29968,76.94244,2022,9,3,34.1,40.0,0.2,90.1,12216,32,48.7
Coimbatore,Mettupalayam,11.29968,76.94244,2022,10,3,30.9,45.4,8.6,72.3,6313,21,63.7
Coimbatore,Mettupalayam,11.29968,76.94244,2022,11,3,29.8,44.2,1.3,84.6,14809,28,48.9
Coimbatore,Mettupalayam,11.29968,76.94244,2022,12,3,32.4,48.6,3.9,67.3,13588,16,58.9
Coimbatore,Mettupalayam,11.29968,76.94244,2022,13,3,25.0,52.5,3.1,76.8,13713,27,49.6
Coimbatore,Mettupalayam,11.29968,76.94244,2022,14,4,27.0,47.0,10.3,76.1,1916,19,54.7
Coimbatore,Mettupalayam,11.29968,76.94244,2022,15,4,27.2,49.8,6.1,77.5,4752,14,50.4
Coimbatore,Mettupalayam,11.29968,76.94244,2022,16,4,22.3,60.1,6.7,65.1,14464,11,48.1
Coimbatore,Mettupalayam,11.29968,76.94244,2022,17,4,23.9,58.4,4.5,69.1,1525,12,45.6
Coimbatore,Mettupalayam,11.29968,76.94244,2022,18,5,24.7,52.3,0.0,64.9,14189,2,27.4
Coimbatore,Mettupalayam,11.29968,76.94244,2022,19,5,23.1,58.0,2.1,87.7,6168,13,32.0
Coimbatore,Mettupalayam,11.29968,76.94244,2022,20,5,17.3,58.7,3.0,72.5,7572,5,27.2
Coimbatore,Mettupalayam,11.29968,76.94244,2022,21,5,15.0,62.1,12.3,85.8,5386,5,30.9
Coimbatore,Mettupalayam,11.29968,76.94244,2022,22,6,16.3,67.4,20.8,73.4,2084,15,42.9
Coimbatore,Mettupalayam,11.29968,76.94244,2022,23,6,17.6,67.2,40.9,73.9,4456,10,49.7
Coimbatore,Mettupalayam,11.29968,76.94244,2022,24,6,21.9,63.8,104.5,48.4,10292,4,63.9
Coimbatore,Mettupalayam,11.29968,76.94244,2022,25,6,15.0,69.6,30.8,73.5,12762,11,44.8
Coimbatore,Mettupalayam,11.29968,76.94244,2022,26,6,17.3,66.6,31.0,74.3,6155,13,48.3
Coimbatore,Mettupalayam,11.29968,76.94244,2022,27,7,17.8,78.6,14.8,76.0,4483,15,48.3
Coimbatore,Mettupalayam,11.29968,76.94244,2022,28,7,16.1,71.2,31.3,72.7,11738,15,49.6
Coimbatore,Mettupalayam,11.29968,76.94244,2022,29,7,15.9,75.9,91.4,68.4,9179,11,60.6
Coimbatore,Mettupalayam,11.29968,76.94244,2022,30,7,15.0,87.5,13.1,66.8,7482,12,50.6
Coimbatore,Mettupalayam,11.29968,76.94244,2022,31,8,16.5,73.0,127.8,57.5,11532,9,64.2
Coimbatore,Mettupalayam,11.29968,76.94244,2022,32,8,17.6,79.7,31.7,88.5,8517,27,56.3
Coimbatore,Mettupalayam,11.29968,76.94244,2022,33,8,15.0,73.3,70.6,62.1,3340,15,59.6
Coimbatore,Mettupalayam,11.29968,76.94244,2022,34,8,15.0,82.6,145.7,82.2,5339,28,69.2
Coimbatore,Mettupalayam,11.29968,76.94244,2022,35,8,19.5,87.7,83.7,73.4,3287,32,78.5
Coimbatore,Mettupalayam,11.29968,76.94244,2022,36,9,19.1,66.9,31.4,77.0,5040,26,63.3
Coimbatore,Mettupalayam,11.29968,76.94244,2022,37,9,16.5,73.1,11.5,80.7,13205,25,54.1
Coimbatore,Mettupalayam,11.29968,76.94244,2022,38,9,24.5,74.9,44.8,76.8,10197,34,80.1
Coimbatore,Mettupalayam,11.29968,76.94244,2022,39,9,21.7,87.8,38.6,71.5,9830,38,83.7
Coimbatore,Mettupalayam,11.29968,76.94244,2022,40,10,23.0,71.6,143.4,74.5,5304,38,88.9
Coimbatore,Mettupalayam,11.29968,76.94244,2022,41,10,22.7,74.5,81.6,57.4,13239,35,89.8
Coimbatore,Mettupalayam,11.29968,76.94244,2022,42,10,22.4,68.2,86.3,76.2,10577,41,86.6
Coimbatore,Mettupalayam,11.29968,76.94244,2022,43,10,28.4,71.3,58.3,59.7,8019,37,96.3
Coimbatore,Mettupalayam,11.29968,76.94244,2022,44,11,29.0,65.5,0.2,64.2,10560,41,65.4
Coimbatore,Mettupalayam,11.29968,76.94244,2022,45,11,28.5,65.8,9.9,70.3,7543,44,81.7
Coimbatore,Mettupalayam,11.29968,76.94244,2022,46,11,26.8,62.5,0.6,77.2,6930,41,63.2
Coimbatore,Mettupalayam,11.29968,76.94244,2022,47,11,33.2,53.1,0.3,79.1,4593,38,65.1
Coimbatore,Mettupalayam,11.29968,76.94244,2022,48,11,30.3,60.4,4.9,77.7,3266,47,78.5
Coimbatore,Mettupalayam,11.29968,76.94244,2022,49,12,32.6,58.2,14.0,87.2,9348,47,86.7
Coimbatore,Mettupalayam,11.29968,76.94244,2022,50,12,32.2,40.0,4.9,70.5,9085,41,73.8
Coimbatore,Mettupalayam,11.29968,76.94244,2022,51,12,37.0,46.0,1.4,72.0,2489,39,74.7
Coimbatore,Mettupalayam,11.29968,76.94244,2022,52,12,32.3,41.5,1.3,74.7,13382,39,66.2
Coimbatore,Avinashi,11.20233,77.29211,2020,1,1,32.6,45.2,17.1,89.1,1993,48,57.2
Coimbatore,Avinashi,11.20233,77.29211,2020,2,1,34.8,49.3,0.9,89.3,7596,63,78.0
Coimbatore,Avinashi,11.20233,77.29211,2020,3,1,37.0,48.2,6.4,100.0,12931,67,94.4
Coimbatore,Avinashi,11.20233,77.29211,2020,4,1,36.1,42.7,3.9,78.0,6559,56,91.2
Coimbatore,Avinashi,11.20233,77.29211,2020,5,1,37.0,47.2,3.1,73.8,14116,58,93.6
Coimbatore,Avinashi,11.20233,77.29211,2020,6,2,29.9,40.0,1.0,84.9,2790,59,75.4
Coimbatore,Avinashi,11.20233,77.29211,2020,7,2,34.9,40.0,0.8,71.3,5073,50,80.8
Coimbatore,Avinashi,11.20233,77.29211,2020,8,2,29.2,44.0,4.9,87.6,4139,57,80.2
Coimbatore,Avinashi,11.20233,77.29211,2020,9,2,31.6,42.6,5.0,74.8,4116,50,83.6
Coimbatore,Avinashi,11.20233,77.29211,2020,10,3,30.1,47.3,0.4,63.8,9786,44,71.4
Coimbatore,Avinashi,11.20233,77.29211,2020,11,3,30.2,45.2,1.6,70.3,8350,47,73.1
Coimbatore,Avinashi,11.20233,77.29211,2020,12,3,31.7,40.0,1.2,76.3,3296,44,69.2
Coimbatore,Avinashi,11.20233,77.29211,2020,13,3,28.9,46.8,7.8,79.9,7912,40,74.5
Coimbatore,Avinashi,11.20233,77.29211,2020,14,4,29.1,48.1,4.1,81.5,4006,42,70.1
Coimbatore,Avinashi,11.20233,77.29211,2020,15,4,24.3,54.2,4.0,73.8,5563,38,66.1
Coimbatore,Avinashi,11.20233,77.29211,2020,16,4,24.9,49.8,0.2,65.6,8579,33,53.1
Coimbatore,Avinashi,11.20233,77.29211,2020,17,4,24.2,56.5,1.7,70.6,5092,34,58.8
Coimbatore,Avinashi,11.20233,77.29211,2020,18,4,23.2,59.7,1.7,69.7,2235,34,57.8
Coimbatore,Avinashi,11.20233,77.29211,2020,19,5,25.1,56.5,0.1,71.5,8260,27,48.4
Coimbatore,Avinashi,11.20233,77.29211,2020,20,5,19.8,52.0,1.8,82.8,14238,35,45.2
Coimbatore,Avinashi,11.20233,77.29211,2020,21,5,22.7,61.9,7.9,73.3,10016,33,63.5
Coimbatore,Avinashi,11.20233,77.29211,2020,22,5,17.4,61.1,8.9,75.4,2604,28,54.8
Coimbatore,Avinashi,11.20233,77.29211,2020,23,6,18.0,72.0,60.0,81.5,1828,45,76.4
Coimbatore,Avinashi,11.20233,77.29211,2020,24,6,15.0,65.9,109.6,71.5,11684,30,74.9
Coimbatore,Avinashi,11.20233,77.29211,2020,25,6,18.1,79.4,100.1,64.9,9856,36,86.0
Coimbatore,Avinashi,11.20233,77.29211,2020,26,6,15.0,73.4,33.9,51.0,14697,26,71.7
Coimbatore,Avinashi,11.20233,77.29211,2020,27,7,16.4,75.2,123.8,73.9,1241,36,82.0
Coimbatore,Avinashi,11.20233,77.29211,2020,28,7,15.0,65.4,35.0,54.3,2528,20,64.8
Coimbatore,Avinashi,11.20233,77.29211,2020,29,7,16.5,78.1,10.1,85.8,13346,40,61.2
Coimbatore,Avinashi,11.20233,77.29211,2020,30,7,16.0,92.4,55.1,73.2,14905,43,82.4
Coimbatore,Avinashi,11.20233,77.29211,2020,31,7,15.0,77.8,20.9,74.8,4872,44,70.6
Coimbatore,Avinashi,11.20233,77.29211,2020,32,8,15.0,76.6,11.1,56.4,3724,35,67.9
Coimbatore,Avinashi,11.20233,77.29211,2020,33,8,17.2,72.1,77.7,76.4,7658,43,83.6
Coimbatore,Avinashi,11.20233,77.29211,2020,34,8,15.4,81.6,20.2,52.9,8956,38,78.8
Coimbatore,Avinashi,11.20233,77.29211,2020,35,8,15.5,78.8,44.2,80.1,8886,49,80.8
Coimbatore,Avinashi,11.20233,77.29211,2020,36,9,20.8,84.5,92.3,57.7,4502,49,100.0
Coimbatore,Avinashi,11.20233,77.29211,2020,37,9,19.8,82.5,51.6,75.6,7570,52,93.9
Coimbatore,Avinashi,11.20233,77.29211,2020,38,9,17.0,73.2,201.6,70.1,1960,51,98.5
Coimbatore,Avinashi,11.20233,77.29211,2020,39,9,19.4,81.3,19.5,79.7,3697,62,91.2
Coimbatore,Avinashi,11.20233,77.29211,2020,40,9,26.3,69.5,18.0,64.1,7209,59,99.4
Coimbatore,Avinashi,11.20233,77.29211,2020,41,10,23.3,72.8,50.6,56.8,1035,51,100.0
Coimbatore,Avinashi,11.20233,77.29211,2020,42,10,21.3,75.2,116.7,82.8,7396,61,100.0
Coimbatore,Avinashi,11.20233,77.29211,2020,43,10,25.4,61.6,35.1,65.4,5345,56,100.0
Coimbatore,Avinashi,11.20233,77.29211,2020,44,10,27.5,64.0,10.7,87.1,13846,62,93.3
Coimbatore,Avinashi,11.20233,77.29211,2020,45,11,26.9,67.2,2.3,91.2,13863,76,88.0
Coimbatore,Avinashi,11.20233,77.29211,2020,46,11,28.7,59.8,0.1,63.5,8454,61,84.5
Coimbatore,Avinashi,11.20233,77.29211,2020,47,11,30.7,55.4,0.2,73.9,5673,60,83.1
Coimbatore,Avinashi,11.20233,77.29211,2020,48,11,30.9,46.2,11.5,71.5,7930,63,99.4
Coimbatore,Avinashi,11.20233,77.29211,2020,49,12,31.8,58.8,20.7,78.7,12412,64,100.0
Coimbatore,Avinashi,11.20233,77.29211,2020,50,12,30.3,53.4,0.8,54.6,12968,60,87.8
Coimbatore,Avinashi,11.20233,77.29211,2020,51,12,38.3,51.8,2.9,80.0,13834,65,99.9
Coimbatore,Avinashi,11.20233,77.29211,2020,52,12,32.6,40.4,17.0,66.3,10105,50,98.3
Coimbatore,Avinashi,11.20233,77.29211,2020,53,12,36.2,40.0,2.9,77.4,11844,60,90.3
Coimbatore,Avinashi,11.20233,77.29211,2021,1,1,39.4,46.5,4.2,84.0,12770,63,98.1
Coimbatore,Avinashi,11.20233,77.29211,2021,2,1,35.9,41.2,3.2,73.9,8973,54,89.7
Coimbatore,Avinashi,11.20233,77.29211,2021,3,1,35.5,43.6,10.2,92.7,3536,66,95.5
Coimbatore,Avinashi,11.20233,77.29211,2021,4,1,34.1,42.6,1.6,71.6,4111,55,85.9
Coimbatore,Avinashi,11.20233,77.29211,2021,5,2,32.4,40.5,10.0,78.9,5861,51,89.8
Coimbatore,Avinashi,11.20233,77.29211,2021,6,2,36.9,40.0,7.2,68.5,4566,53,94.2
Coimbatore,Avinashi,11.20233,77.29211,2021,7,2,29.0,53.6,10.0,72.3,1958,52,90.4
Coimbatore,Avinashi,11.20233,77.29211,2021,8,2,33.8,42.8,4.3,81.5,10489,56,84.2
Coimbatore,Avinashi,11.20233,77.29211,2021,9,3,32.1,40.0,3.6,85.0,13054,53,78.3
Coimbatore,Avinashi,11.20233,77.29211,2021,10,3,32.0,41.2,5.8,71.1,9883,48,83.2
Coimbatore,Avinashi,11.20233,77.29211,2021,11,3,32.9,40.2,2.2,67.5,1998,40,76.0
Coimbatore,Avinashi,11.20233,77.29211,2021,12,3,31.4,48.3,1.7,80.1,13254,48,74.1
Coimbatore,Avinashi,11.20233,77.29211,2021,13,3,30.0,47.1,7.3,69.1,6138,43,79.6
Coimbatore,Avinashi,11.20233,77.29211,2021,14,4,28.8,48.5,0.5,85.7,1936,42,60.2
Coimbatore,Avinashi,11.20233,77.29211,2021,15,4,26.2,40.4,0.3,58.7,1821,26,52.6
Coimbatore,Avinashi,11.20233,77.29211,2021,16,4,24.4,41.2,0.4,77.1,10571,37,48.5
Coimbatore,Avinashi,11.20233,77.29211,2021,17,4,23.8,52.0,0.4,75.8,8811,29,48.0
Coimbatore,Avinashi,11.20233,77.29211,2021,18,5,21.1,51.4,8.1,65.6,9238,26,57.5
Coimbatore,Avinashi,11.20233,77.29211,2021,19,5,22.9,56.2,3.2,81.3,14970,36,53.2
Coimbatore,Avinashi,11.20233,77.29211,2021,20,5,17.9,60.3,2.2,77.8,9701,29,46.3
Coimbatore,Avinashi,11.20233,77.29211,2021,21,5,20.0,62.5,3.0,85.0,3579,41,52.5
Coimbatore,Avinashi,11.20233,77.29211,2021,22,6,20.8,65.8,27.7,83.4,1931,39,71.4
Coimbatore,Avinashi,11.20233,77.29211,2021,23,6,18.0,73.9,14.4,75.7,9320,36,68.8
Coimbatore,Avinashi,11.20233,77.29211,2021,24,6,15.0,65.8,29.8,68.7,2312,30,66.3
Coimbatore,Avinashi,11.20233,77.29211,2021,25,6,18.1,66.2,19.6,86.3,14948,35,65.6
Coimbatore,Avinashi,11.20233,77.29211,2021,26,6,15.0,70.9,76.7,73.4,4044,37,75.6
Coimbatore,Avinashi,11.20233,77.29211,2021,27,7,15.0,78.8,39.6,94.8,2122,49,73.1
Coimbatore,Avinashi,11.20233,77.29211,2021,28,7,16.9,81.3,95.7,64.4,10749,40,88.4
Coimbatore,Avinashi,11.20233,77.29211,2021,29,7,15.4,76.3,29.1,76.4,2113,40,74.9
Coimbatore,Avinashi,11.20233,77.29211,2021,30,7,16.3,71.5,2.8,61.0,12062,30,59.3
Coimbatore,Avinashi,11.20233,77.29211,2021,31,8,17.8,77.8,30.1,79.8,4853,48,80.3
Coimbatore,Avinashi,11.20233,77.29211,2021,32,8,15.5,83.2,15.8,67.6,7615,40,74.8
Coimbatore,Avinashi,11.20233,77.29211,2021,33,8,18.7,84.1,86.9,61.3,2964,40,92.8
Coimbatore,Avinashi,11.20233,77.29211,2021,34,8,18.0,78.2,64.3,57.6,10333,40,88.4
Coimbatore,Avinashi,11.20233,77.29211,2021,35,9,15.0,73.7,35.0,48.6,5033,43,82.0
Coimbatore,Avinashi,11.20233,77.29211,2021,36,9,19.9,78.6,33.7,95.2,10485,60,85.2
